,Unnamed: 0,Unnamed: 0.1,country,target,model,params,f1,accuracy,precision,recall,roc_auc
74,74.0,2.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.2787825095971933,0.7707598105752119,0.2602528832840699,0.3054054054054054,0.646784995608525
75,75.0,3.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.2703121806601566,0.760299218773565,0.2425147684141997,0.3081081081081081,0.6333189267012795
76,76.0,4.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.1535229231399099,0.8184749494766688,0.2254494418624853,0.1189189189189189,0.6054017087840616
77,77.0,5.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.1655439150691737,0.8103339064338069,0.2282752721433903,0.1324324324324324,0.6124053609347728
78,78.0,6.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3143423971598977,0.6555500256387055,0.2205538224187438,0.5486486486486487,0.6557510533981122
79,79.0,7.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3090124009764459,0.6730054595360903,0.2228360771758546,0.5081081081081081,0.6590636708283767
80,80.0,8.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.2731964967662087,0.7633969776490815,0.2464753809496806,0.3081081081081081,0.6566425228189934
81,81.0,9.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.2873942295323751,0.7583446445268904,0.2520491875000348,0.3378378378378379,0.6454571581042169
82,82.0,10.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.1830829838118068,0.8289400657557385,0.2825449600129907,0.1378378378378378,0.6345157981922687
83,83.0,11.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.1827480629058656,0.8080007842427532,0.2390193467859371,0.1486486486486486,0.6187042925278219
84,84.0,12.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3277771197875877,0.6679757488010136,0.2332186359862335,0.5594594594594595,0.6564939353174648
85,85.0,13.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3204209795125808,0.6594199619943896,0.2251049642057091,0.5594594594594595,0.6535092054209701
86,86.0,14.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.2654239916542666,0.7657135100895847,0.2427276755154329,0.2945945945945946,0.6475513913749209
87,87.0,15.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.271115425291486,0.7568078303622598,0.2400505558077349,0.3162162162162162,0.6260965346259464
88,88.0,16.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.1257492569294445,0.8235122010074502,0.2198732124428719,0.0891891891891892,0.6124035265211736
89,89.0,17.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.18743471333175,0.8099448013754411,0.2472658315919185,0.1513513513513513,0.6101682379623556
90,90.0,18.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3176185390568696,0.6613926341507557,0.2239064895166713,0.5486486486486486,0.6577512312806431
91,91.0,19.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3209866762470754,0.6691204415889965,0.2276645080307628,0.5486486486486486,0.6615716755422639
92,92.0,20.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.2703613863064226,0.7633894368533768,0.2419251094869719,0.3081081081081082,0.6335181273416568
93,93.0,21.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.2525227226579281,0.7505972310198172,0.2207038770185591,0.2972972972972972,0.6214287302522598
94,94.0,22.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.1849369596763916,0.8192410943202726,0.2651454022712604,0.1459459459459459,0.6173025781849312
95,95.0,23.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.2074098244806055,0.8021717491629717,0.2442924711151499,0.1810810810810811,0.6455841495547378
96,96.0,0.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.1285768599683993,0.7940291979609688,0.0783840639612605,0.3627272727272727,0.627282084426609
97,97.0,1.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.1285166842885737,0.8029378940065757,0.0786300319318776,0.3672727272727273,0.619514503959538
98,98.0,2.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.0728288055702243,0.9150604771815524,0.065813492063492,0.0827272727272727,0.5992303685279067
99,99.0,3.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.0942191142191142,0.9204943745664044,0.0927261992393571,0.1045454545454545,0.581103105298776
100,100.0,4.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.0277777777777777,0.948030344161916,0.0642857142857142,0.019090909090909,0.6164158538829592
101,101.0,5.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.0364372469635627,0.9503544173981238,0.0583333333333333,0.0281818181818181,0.5886345382122122
102,102.0,6.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.1336617853611361,0.786268211021627,0.0806668707962192,0.4009090909090909,0.6500245690218102
103,103.0,7.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.1518667791585899,0.7994118179350285,0.0933148010509776,0.4309090909090909,0.6456417033730277
104,104.0,8.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.1259000353828729,0.9173815340994782,0.1149017471214267,0.1509090909090909,0.616184292150973
105,105.0,9.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.1157682102293932,0.9119385877597804,0.0986799105607155,0.1518181818181818,0.5924863612618283
106,106.0,10.0,Cambodia,if_sex_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.0260504201680672,0.9526784906343316,0.05,0.0181818181818181,0.549662882745438
