,country,target,model,params,f1,accuracy,precision,recall,roc_auc
0,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.34127130567281105,0.6848236636332097,0.2440066260905181,0.567916307161346,0.6888554521504714
1,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.3423714313648251,0.6855773131221478,0.2448139471921365,0.5695610440034512,0.68959989826593
2,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.350135492500846,0.6806726535187211,0.2475676024903332,0.5981104400345126,0.6937117282656856
3,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.35268408678340474,0.6821822653963511,0.24936316318522828,0.6023759706643659,0.6961137725432754
4,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.34280413319641134,0.6627514611299405,0.23812512617106188,0.6118841673856774,0.6891490050198444
5,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.3417681826296054,0.6628931484792684,0.23757861593159327,0.6089322691975843,0.6921184522408667
6,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.3456813808406819,0.6867565139263252,0.24703768890195765,0.5757905522001725,0.6887480397632741
7,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.3422231027096787,0.6861433730974176,0.24497114720738514,0.5679152286453839,0.6884192274882996
8,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.34570977929167124,0.6785505012765427,0.24436942521566052,0.5908843830888697,0.6952399042808676
9,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.34897126808479123,0.6782671710567284,0.2461209149992709,0.5997422346850734,0.6957641975875404
10,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.34332765040113905,0.6624220953092614,0.23832122073711606,0.6138578515962035,0.6923263588767761
11,Five_countries,if_phy_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.34485210271101085,0.666808176100629,0.24034316587504462,0.6102459016393442,0.6930460942884253
0,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.13137452621657056,0.6420003024561216,0.07332374053562586,0.6322222222222222,0.6859750216307682
1,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.1320357557505748,0.6392655431311326,0.07361364148099124,0.640989010989011,0.6876881401522893
